number_of_reviews,calculated_host_listings_count,neighbourhood_group,room_type,price
0.003683241252302026,0.0031055900621118036,0.5,1.0,55
0.0,0.0,0.25,0.0,200
0.020257826887661142,0.015527950310559004,0.25,0.5,393
0.003683241252302026,0.04037267080745341,0.5,0.0,93
0.0055248618784530384,0.14596273291925466,0.25,0.5,120
0.08287292817679558,0.009316770186335404,0.0,0.5,81
0.0,0.015527950310559004,0.5,0.0,47
0.02578268876611418,0.0031055900621118036,0.25,0.0,49
0.15837937384898712,0.0,0.25,0.0,109
0.03130755064456722,0.09006211180124223,0.25,0.5,125
0.01289134438305709,0.0,0.0,0.0,88
0.022099447513812154,0.012422360248447204,0.25,0.5,105
0.11049723756906078,0.0,0.5,0.0,51
0.0718232044198895,0.07142857142857142,0.0,0.5,199
0.001841620626151013,0.02173913043478261,0.25,0.0,70
0.001841620626151013,0.009316770186335404,0.25,0.5,150
0.0055248618784530384,0.031055900621118012,0.25,0.5,200
0.02394106813996317,0.0031055900621118036,0.25,0.0,114
0.03314917127071823,0.006211180124223604,0.75,0.0,33
0.0,0.2546583850931677,0.25,0.5,169
0.07734806629834254,0.06521739130434782,0.25,0.0,75
0.011049723756906077,0.012422360248447204,0.25,0.5,125
0.0,0.006211180124223604,0.5,0.0,55
0.001841620626151013,0.006211180124223604,0.5,1.0,30
0.03683241252302026,0.0031055900621118036,0.5,0.5,500
0.0,0.06832298136645962,0.0,0.0,42
0.01841620626151013,0.09006211180124223,0.25,0.5,130
0.022099447513812154,0.0031055900621118036,0.25,0.5,245
0.0,0.0,0.0,0.5,399
0.0,0.031055900621118012,0.25,0.0,300
0.0,0.7049689440993788,0.25,0.5,358
0.001841620626151013,0.0031055900621118036,0.25,0.5,225
0.0,1.0,0.25,0.5,100
0.01289134438305709,0.049689440993788817,0.0,0.5,123
0.0,0.7049689440993788,0.25,0.5,423
0.007366482504604052,1.0,0.25,0.5,247
0.007366482504604052,0.0,0.0,0.0,87
0.04419889502762431,0.018633540372670804,0.25,0.5,1000
0.0,0.09937888198757763,0.5,0.0,43
0.058931860036832415,0.0,0.0,1.0,38
0.001841620626151013,0.7049689440993788,0.25,0.5,332
0.007366482504604052,0.012422360248447204,0.25,0.0,100
0.014732965009208104,0.08695652173913043,0.25,0.5,225
0.0,0.30434782608695654,0.5,0.0,61
